area_km2,klc_id,klc_name,year,pa,area_loss
42794.86073671835,WAF_18,Lake Chad,2006,inside,0
42794.86073671835,WAF_18,Lake Chad,2006,outside,0
42794.86073671835,WAF_18,Lake Chad,2007,total,0
42794.86073671835,WAF_18,Lake Chad,2007,inside,0
42794.86073671835,WAF_18,Lake Chad,2007,outside,0
42794.86073671835,WAF_18,Lake Chad,2008,total,0
42794.86073671835,WAF_18,Lake Chad,2008,inside,0
42794.86073671835,WAF_18,Lake Chad,2008,outside,0
42794.86073671835,WAF_18,Lake Chad,2009,total,0
42794.86073671835,WAF_18,Lake Chad,2009,inside,0
42794.86073671835,WAF_18,Lake Chad,2009,outside,0
42794.86073671835,WAF_18,Lake Chad,2010,total,0
42794.86073671835,WAF_18,Lake Chad,2010,inside,0
42794.86073671835,WAF_18,Lake Chad,2010,outside,0
42794.86073671835,WAF_18,Lake Chad,2011,total,0
42794.86073671835,WAF_18,Lake Chad,2011,inside,0
42794.86073671835,WAF_18,Lake Chad,2011,outside,0
42794.86073671835,WAF_18,Lake Chad,2012,total,0
42794.86073671835,WAF_18,Lake Chad,2012,inside,0
42794.86073671835,WAF_18,Lake Chad,2012,outside,0
42794.86073671835,WAF_18,Lake Chad,2013,total,0
42794.86073671835,WAF_18,Lake Chad,2013,inside,0
42794.86073671835,WAF_18,Lake Chad,2013,outside,0
42794.86073671835,WAF_18,Lake Chad,2014,total,0
42794.86073671835,WAF_18,Lake Chad,2014,inside,0
42794.86073671835,WAF_18,Lake Chad,2014,outside,0
42794.86073671835,WAF_18,Lake Chad,2015,total,0
42794.86073671835,WAF_18,Lake Chad,2015,inside,0
42794.86073671835,WAF_18,Lake Chad,2015,outside,0
42794.86073671835,WAF_18,Lake Chad,2016,total,0
42794.86073671835,WAF_18,Lake Chad,2016,inside,0
42794.86073671835,WAF_18,Lake Chad,2016,outside,0
42794.86073671835,WAF_18,Lake Chad,2017,total,0
42794.86073671835,WAF_18,Lake Chad,2017,inside,0
42794.86073671835,WAF_18,Lake Chad,2017,outside,0
42794.86073671835,WAF_18,Lake Chad,2018,total,0
42794.86073671835,WAF_18,Lake Chad,2018,inside,0
42794.86073671835,WAF_18,Lake Chad,2018,outside,0
42794.86073671835,WAF_18,Lake Chad,2019,total,0
42794.86073671835,WAF_18,Lake Chad,2019,inside,0
42794.86073671835,WAF_18,Lake Chad,2019,outside,0
42794.86073671835,WAF_18,Lake Chad,2020,total,0
42794.86073671835,WAF_18,Lake Chad,2020,inside,0
42794.86073671835,WAF_18,Lake Chad,2020,outside,0
89063.69938057939,SAF_20,Cape Floral,2001,total,46.936279725622576
89063.69938057939,SAF_20,Cape Floral,2001,inside,27.51968300122861
89063.69938057939,SAF_20,Cape Floral,2001,outside,19.416596724393965
89063.69938057939,SAF_20,Cape Floral,2002,total,54.019390027351875
89063.69938057939,SAF_20,Cape Floral,2002,inside,41.608850402935886
89063.69938057939,SAF_20,Cape Floral,2002,outside,12.41053962441599
89063.69938057939,SAF_20,Cape Floral,2003,total,50.45273371582035
89063.69938057939,SAF_20,Cape Floral,2003,inside,32.381161036467674
89063.69938057939,SAF_20,Cape Floral,2003,outside,18.071572679352677
89063.69938057939,SAF_20,Cape Floral,2004,total,64.66421618911136
89063.69938057939,SAF_20,Cape Floral,2004,inside,44.113156359095434
89063.69938057939,SAF_20,Cape Floral,2004,outside,20.551059830015923
89063.69938057939,SAF_20,Cape Floral,2005,total,64.0277144045744
89063.69938057939,SAF_20,Cape Floral,2005,inside,45.53752772134133
89063.69938057939,SAF_20,Cape Floral,2005,outside,18.49018668323307
89063.69938057939,SAF_20,Cape Floral,2006,total,120.27086656587981
89063.69938057939,SAF_20,Cape Floral,2006,inside,49.50233456420979
89063.69938057939,SAF_20,Cape Floral,2006,outside,70.76853200167002
89063.69938057939,SAF_20,Cape Floral,2007,total,53.30688735522874
89063.69938057939,SAF_20,Cape Floral,2007,inside,41.43543061622945
89063.69938057939,SAF_20,Cape Floral,2007,outside,11.871456738999285
89063.69938057939,SAF_20,Cape Floral,2008,total,60.78237881626907
89063.69938057939,SAF_20,Cape Floral,2008,inside,45.18412598507272
89063.69938057939,SAF_20,Cape Floral,2008,outside,15.598252831196355
89063.69938057939,SAF_20,Cape Floral,2009,total,52.886837734321254
89063.69938057939,SAF_20,Cape Floral,2009,inside,44.65284789409906
89063.69938057939,SAF_20,Cape Floral,2009,outside,8.233989840222193
89063.69938057939,SAF_20,Cape Floral,2010,total,73.3456848640626
